T16293,Hannah,Abbott,,Female,Test data,Build UK,Build Western & Wales,Build Western and Wales,Senior Estimator,M2,"Zeller, Rose",T41857,Exeter - Hawthorn House,1,C,Low,Low,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T17041,Euan,Abercrombie,,Male,Test data,Build UK,Build Western & Wales,Build Western and Wales,Pre-construction Manager,M3,"Zamojski, Ladislaw",T19612,Truro - Victoria Wharf,1,B,Low,High,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T19462,Stewart,Ackerley,,Male,Test data,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Head of Design,M3,"Zabini, Blaise",T21308,Sandy - Tempsford Hall,1,C,High,Medium,N/A,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T23346,Falco,Aesalon,,Male,Test data,Build UK,Build Eastern,Build Eastern,Operations Manager,M3,"Youdle, Cyprian",T40996,Witham - Stepfield,1,B,Medium,High,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T43892,Cornelius,Agrippa,,Male,Test data,Build UK,Build Eastern,Build Eastern,Contracts Manager,M3,"Yen, Dzou",T26072,Norwich - Mason Road,1,B,Low,Medium,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T16485,Archibald,Alderton,,Male,Test data,Build UK,Build London,Build London,Foreman,C3,"Yaxley, Lysandra",T25681,Loughton - Langston Road,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T37222,Arkie,Alderton,,Male,Test data,Build UK,Build Western & Wales,Build Western and Wales,Senior Planner,M2,"Wronski, Josef",T13052,Bristol - The Old Mill,1,C,Medium,High,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T44062,PC,Anderson,,Male,Test data,Build UK,Build Western & Wales,Build Western and Wales,Senior Engineer,M1,"Wright, Bowman",T58223,Cardiff - Conway House,1,C,Low,Low,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T42817,Bertram,Aubrey,,Male,Test data,Build UK,Build Western & Wales,Build Western and Wales,Project Manager,M2,"Worple, Eldred",T55724,Cardiff - Conway House,1,B,Low,Medium,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T42774,Bathsheda,Babbling,,Female,Test data,Build UK,Build London,Build London,Site Services Manager,M2,"Worme, Augustus",T41826,Loughton - Langston Road,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T28756,Malcolm,Baddock,,Male,Test data,Build UK,Build Southern,Build Southern,Administrator,C2,"Wood, Oliver",T41776,Aylesford - Broadmead House,1,B,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T26912,Ludovic,Bagman,,Male,Test data,Build UK,Build Southern,Build Southern,Site Manager,C4,"Wintringham, Herman",T39231,Aylesford - Broadmead House,1,B,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T11494,Otto,Bagman,,Male,Test data,Build UK,Build London,Build London,Contracts Officer,M2,"Wimple, Gilbert",T58168,Loughton - Langston Road,2,B,,,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T12173,Millicent,Bagnold,,Female,Test data,Build UK,Build London,Build London,Senior Site Manager,M1,"Willy Wagstaff, Honest",T11410,Loughton - Langston Road,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T23596,Bathilda,Bagshot,,Female,Test data,Build UK,Build Western & Wales,Build Western and Wales,Senior Quantity Surveyor,M2,"Willis, Heliotrope",T47476,Bristol - The Old Mill,2,B,Low,Low,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T18446,Heathcote,Barbary,,Male,Test data,Build UK,Build Western & Wales,Build Western and Wales,Quality Manager,M1,"Williams, Benjy",T69207,Bristol - The Old Mill,2,B,Low,Low,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T11662,Musidora,Barkwith,,Female,Test data,Build UK,Build Southern,Build Southern,Procurement Lead,M2,"Wildsmith, Ignatia",T39038,Aylesford - Broadmead House,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T28623,Ali,Bashir,,Male,Test data,Build UK,Build Southern,Build Southern,Quantity Surveyor,M1,"Wigworthy, Wilhelm",T10554,Aylesford - Broadmead House,2,B,,,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T22655,Hetty,Bayliss,,Female,Test data,Build UK,Build Southern,Build Southern,Pre-construction Manager,M3,"Wiggleswade, Dempster",T34281,Maple Cross - Maple Lodge Close,2,C,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T26530,Oswald,Beamish,,Male,Test data,Build UK,Build Eastern,Build Eastern,Senior Buyer,M1,"Widdershins, Willy",T26344,Cambridge - Building 3000,2,C,Low,High,,Procurement,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T38364,Herbert,Beery,,Male,Test data,Build UK,Build Southern,Build Southern,Senior Quantity Surveyor,M2,"Wiblin, Samson",T19661,Maple Cross - Maple Lodge Close,2,B,,,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T20039,Flavius,Belby,,Male,Test data,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Senior Estimator,M2,"Whitehorn, Devlin",T62437,Sandy - Tempsford Hall,2,B,Medium,High,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T35707,Marcus,Belby,,Male,Test data,Build UK,Build Eastern,Build Eastern,Business Development Manager,M2,"Whitby, Kevin",T52146,Rushden - Marriott House,2,C,High,Medium,N/A,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T37649,Humphrey,Belcher,,Male,Test data,Build UK,Build Eastern,Build Eastern,Engineer,C4,"Whisp, Kennilworthy",T49891,Rushden - Marriott House,2,C,Low,Low,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T35189,Katie,Bell,,Female,Test data,Build UK,Build Eastern,Build Eastern,Administrator,C2,"Wenlock, Bridget",T62415,Rushden - Marriott House,2,C,Low,Low,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T18901,Amy,Benson,,Female,Test data,Construction,Build Strategic Alliances,Build Strategic Alliances,Senior Framework Commercial Manager,M3,"Wellbeloved, Dorcas",T45577,Sandy - Tempsford Hall,2,C,Low,High,Future,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T34428,Cuthbert,Binns,,Male,Test data,Workplace Services,KWS Centre,KWS Centre,Development Director,L2,"Weasley, Victoire",T48627,Norwich - Trowse,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T49424,Dennis,Bishop,,Male,Test data,Infrastructure and Utilities,Professional Services,Professional Services,Principal Engineer,M2,"Weasley, Septimus",T21390,Sandy - Tempsford Hall,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T34670,Alphard,Black,,Female,Test data,Group Centre,Fleet,Kier Fleet Services Ltd,Administrator,C2,"Weasley, Roxanne",T29360,Sandy - Lysander House,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T37099,Andromeda,Black,,Female,Test data,Group Centre,Group Centre,Kier Limited - Group Functions,Head of Procurement,L1,"Weasley, Rose",T52272,Lincoln - Enterprise House,2,C,Low,Low,,Procurement,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T15220,Arcturus,Black,,Male,Test data,Build UK,Build London,Build London,Contracts Manager,M3,"Weasley, Ronald",T46204,Loughton - Langston Road,2,C,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T21559,Bellatrix,Black,,Female,Test data,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Quality Manager,M1,"Weasley, Molly",T35688,Sellafield -BEPPS and DIF,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T36404,Belvina,Black,,Female,Test data,Workplace Services,Facilities Management,KWS PFI,Facilities Manager,M1,"Weasley, Molly",T64577,Sandy - Tempsford Hall,2,C,Low,Medium,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T18031,Callidora,Black,,Female,Test data,Build UK,Build Southern,Build Southern,Senior Project Manager,M3,"Weasley, Lucy",T22727,Maple Cross - Maple Lodge Close,2,C,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T31837,Cassiopeia,Black,,Female,Test data,Build UK,Build Eastern,Build Eastern,Contracts Officer,M2,"Weasley, Louis",T12920,Cambridge - Building 3000,2,B,Low,High,,Commercial,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T19569,Cedrella,Black,,Female,Test data,Build UK,Build Major Projects,Build Major Projects,Operations Director,L2,"Weasley, Hugo",T62316,Sandy - Tempsford Hall,2,B,Medium,Medium,Lateral,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T24464,Charis,Black,,Male,Test data,Build UK,Build London,Build London,Head of Estimating,M3,"Weasley, Hermione",T65182,Loughton - Langston Road,2,C,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T48223,Cygnus,Black,,Male,Test data,Build UK,Build KME,Build KME,Senior Building Services Engineer,M1,"Weasley, George",T54165,Basingstoke - Basing View,2,C,Low,High,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T19939,Dorea,Black,,Female,Test data,Build UK,Build Western & Wales,Build Western and Wales,Administrator,C2,"Weasley, Fred",T25835,Bristol - The Old Mill,2,C,Low,Low,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T22995,Druella,Black,,Female,Test data,Build UK,Build London,Build London,Contracts Manager,M3,"Weasley, Fleur",T56280,Loughton - Langston Road,2,B,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T30825,Elladora,Black,,Female,Test data,Build UK,Build Eastern,Build Eastern,Technical Administrator,C3,"Weasley, Dominique",T49862,Rushden - Marriott House,3,A,Low,Medium,,Procurement,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T36203,Hesper,Black,,Male,Test data,Build UK,Build Northern, Liverpool,Senior Bid Manager,M2,"Weasley, Charlie",T42260,Liverpool - Kier House,3,A,Low,Medium,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T13992,Irma,Black,,Female,Test data,Workplace Services,KWS Centre,KWS Centre,Sales and Bid Coordinator,C3,"Weasley, Cedrella",T17833,Cardiff - Conway House,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T13481,Isla,Black,,Female,Test data,Workplace Services,KWS Centre,KWS Centre,Business Development Manager,M3,"Weasley, Audrey",T30061,Cardiff - Conway House,3,A,Low,Medium,Future,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T12975,Lucretia,Black,,Female,Test data,Workplace Services,Facilities Management,KWS PFI,Contracts Manager,M1,"Weasley, Arthur",T27040,Basingstoke - Southern Cross,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
T18179,Lycoris,Black,,Male,Test data,Infrastructure and Utilities,Professional Services,Professional Services,Senior CAD Technician,C4,"Watkins, Fabius",T54808,Sandy - Tempsford Hall,,,,,,N\A,roxanne.swerdlow@kier.co.uk,roxanne.swerdlow@kier.co.uk
